;Database ID;Rekkefølge;V1: Hovedtype bruker;V2: Alder osv;REE;Ekstra energiforbruk;V3a/b: Arbeid/hovedaktivitet;V4: Fritid ;PAL arbeid;PAL fra fritid;PAL (sum);MJ/dag;kJ;kcal;KH (E %) (min);KH (E %) (max);Tilsatt sukker (E %) (max);Kostfiber (g) ;Kostfiber (g) ;Fett ( E %) ;Fett (E %);Mettet fett (E %) ; Transfett (E %);Enumettet fett ( E %) (min);Enumettet fett (E %)(max);Flerumettet fett (E %) (min);Flerumettet fett (E %)(max);Omega-3 (E %);Omega-6 (E %);Protein (E %) (min);Protein (E %) (max);Alkhol (g);Salt (g);Vitamin A;Vitamin D;Vitamin E;Tiamin;Riboflavin;Niacin;Niacinekvivalenter;Vitamin B6;Folat;Vitamin B12;Vitamin C;Kalsium;Jern;Kalium;Fosfor;Natrium (max);Magnesium;Sink;Kobber;Selen;Jod
;;;nutrient ID (matvaretabellen);;;;;;;;;;Energi1;Energi2;Karbo;Karbo;Sukker;Fiber;Fiber;Fett;Fett;Mettet;Trans;Enumet;Enumet;Flerum;Flerum;Omega-3;Omega-6;Protein;Protein;Alko;NaCl;Vit A;Vit D;Vit E;Vit B1;Vit B2;Niacin;;Vit B6;Folat;Vit B12;Vit C;Ca;Fe;K;P;Na;Mg;Zn;Cu;Se;I
;;;Grenser;;;;;;;;;;gjsn;gjsn;min;max;gjsn;min;max;min;max;gjsn;gjsn;min;max;min;max;gjsn;gjsn;min;max;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn
;1;67;Mann;18-30;7,3;;SENGELIGGENDE/INAKTIV;;1,15;;1,15;8,395;8395;2006,405;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2;68;Mann;18-30;7,3;;STILLESITTENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,6;0,015;1,615;11,7895;11789,5;2817,6905;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
Eksempelmeny;3;69;Mann;18-30;7,3;;STILLESITTENDE ARBEID;AKTIV 2-3 timer trening per uke;1,6;0,0625;1,6625;12,13625;12136,25;2900,56375;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;4;70;Mann;18-30;7,3;;STILLESITTENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,6;0,25;1,85;13,505;13505;3227,695;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;71;Mann;18-30;7,3;;STÅENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,8;0,015;1,815;13,2495;13249,5;3166,6305;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;6;72;Mann;18-30;7,3;;STÅENDE ARBEID;AKTIV 2-3 timer trening per uke;1,8;0,0625;1,8625;13,59625;13596,25;3249,50375;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;7;73;Mann;18-30;7,3;;STÅENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,8;0,25;2,05;14,965;14965;3576,635;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;74;Mann;18-30;7,3;;FYSISK HARDT ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;2,2;0,015;2,215;16,1695;16169,5;3864,5105;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;9;75;Mann;18-30;7,3;;FYSISK HARDT ARBEID;AKTIV 2-3 timer trening per uke;2,2;0,0625;2,2625;16,51625;16516,25;3947,38375;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;10;76;Mann;18-30;7,3;;FYSISK HARDT ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;2,2;0,25;2,45;17,885;17885;4274,515;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;77;Mann;31-60;6,9;;SENGELIGGENDE/INAKTIV;;1,15;;1,15;7,935;7935;1896,465;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,3;1,5;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ingen eksempelmeny;12;78;Mann;31-60;6,9;;STILLESITTENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,6;0,015;1,615;11,1435;11143,5;2663,2965;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,3;1,5;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;13;79;Mann;31-60;6,9;;STILLESITTENDE ARBEID;AKTIV 2-3 timer trening per uke;1,6;0,0625;1,6625;11,47125;11471,25;2741,62875;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,3;1,5;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;14;80;Mann;31-60;6,9;;STILLESITTENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,6;0,25;1,85;12,765;12765;3050,835;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,3;1,5;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
